URL,Category,Traffic (%),Number of Keywords,Traffic,,,,,,,,,,,,
https://www.mahindrafinance.com/customer-service/emi-moratorium-policy?utm_source=Facebook&amp;utm_medium=Facebook+Link&amp;utm_campaign=Tractor+Loan&amp;utm_term=Tractor&amp;utm_content=facebook,Informational Page,0.04,1,108,,,,,,,,,,,,
https://www.mahindrafinance.com/loans/used-car-loan/eligibility-and-documents,Informational Page,0.04,38,108,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/car-loan/affordable-automatic-cars-in-india,Blogs,0.03,28,99,0,16,6,0,3,0,68,48,0,14,0,94
https://www.mahindrafinance.com/hi/blogs/fixed-deposit/things-you-need-to-know-about-15g-form-for-fd?utm_source=website&amp;utm_medium=organic&amp;utm_campaign=bottom_banner&amp;utm_term=apply_now&amp;utm_content=lav,Blogs,0.03,1,98,0,0,1,0,0,0,0,98,0,0,0,98
https://branch.mahindrafinance.com/thrissur-thrissur-kerala-branch/contact-us,Non-Blog,0.03,3,97,0,1,0,1,0,0,9,0,88,0,0,0
https://www.mahindrafinance.com/blogs/personal-loan/what-is-annualized-yield-in-fixed-deposit,Blogs,0.03,16,95,0,0,12,0,0,0,0,87,0,0,0,-18
https://branch.mahindrafinance.com/udaipur-udaipur-rajasthan-branch/,Non-Blog,0.03,9,94,0,1,0,3,2,0,4,0,89,88,0,1
https://www.mahindrafinance.com/loans/personal-loan/emi-calculator,Informational Page,0.03,94,94,,,,,,,,,,,,
https://www.mahindrafinance.com/loans/car-loan/interest-rates-and-charges,Informational Page,0.03,93,93,,,,,,,,,,,,
https://www.mahindrafinance.com/faq/are-rs-10-lakh-fds-taxable,Non-Blog,0.03,18,91,0,2,13,0,0,0,9,91,0,0,0,-301
https://branch.mahindrafinance.com/vendermukku-kollam-kerala-branch/,Non-Blog,0.03,6,91,0,0,1,1,2,0,0,3,88,91,0,0
https://branch.mahindrafinance.com/policebazar-shillong-meghalaya-branch/,Non-Blog,0.03,4,89,0,1,0,2,0,0,0,0,89,0,0,0
https://branch.mahindrafinance.com/mpnagar-bhopal-madhya-pradesh-branch/,Non-Blog,0.03,2,88,0,0,0,2,2,0,0,0,88,88,0,-3
https://branch.mahindrafinance.com/subash-nagar-dehradun-uttarakhand-branch/,Non-Blog,0.03,1,88,0,0,0,1,1,0,0,0,88,88,0,0
https://branch.mahindrafinance.com/master-colony-bihar-sharif-bihar-branch/contact-us,Non-Blog,0.03,1,88,0,0,0,1,0,0,0,0,88,0,0,0
